time_s,adc_code,voltage_v
0.000000,37,0.03172872
0.010000,35,0.03172797
0.020000,40,0.03172723
0.030000,40,0.03172649
0.040000,38,0.03172574
0.050000,40,0.03172500
0.060000,42,0.03172425
0.070000,41,0.03172351
0.080000,40,0.03172277
0.090000,40,0.03172202
0.100000,37,0.03172128
0.110000,41,0.03172053
0.120000,36,0.03171979
0.130000,38,0.03171905
0.140000,38,0.03171830
0.150000,35,0.03171756
0.160000,39,0.03171682
0.170000,42,0.03171607
0.180000,38,0.03171533
0.190000,36,0.03171458
0.200000,39,0.03171384
0.210000,41,0.03171310
0.220000,39,0.03171235
0.230000,39,0.03171161
0.240000,36,0.03171086
0.250000,40,0.03171012
0.260000,40,0.03170938
0.270000,42,0.03170863
0.280000,42,0.03170789
0.290000,40,0.03170714
0.300000,36,0.03170640
0.310000,36,0.03170566
0.320000,37,0.03170491
0.330000,39,0.03170417
0.340000,37,0.03170342
0.350000,41,0.03170268
0.360000,39,0.03170194
0.370000,40,0.03170119
0.380000,40,0.03170045
0.390000,40,0.03169970
0.400000,36,0.03169896
0.410000,44,0.03169822
0.420000,42,0.03169747
0.430000,42,0.03169673
0.440000,37,0.03169598
0.450000,35,0.03169524
0.460000,36,0.03169450
0.470000,37,0.03169375
0.480000,41,0.03169301
0.490000,41,0.03169226
0.500000,42,0.03169152
0.510000,43,0.03169078
0.520000,40,0.03169003
0.530000,40,0.03168929
0.540000,38,0.03168854
0.550000,38,0.03168780
0.560000,37,0.03168706
0.570000,40,0.03168631
0.580000,39,0.03168557
0.590000,38,0.03168482
0.600000,37,0.03168408
0.610000,40,0.03168334
0.620000,41,0.03168259
0.630000,39,0.03168185
0.640000,39,0.03168111
0.650000,38,0.03168036
0.660000,38,0.03167962
0.670000,38,0.03167887
0.680000,38,0.03167813
0.690000,38,0.03167739
0.700000,40,0.03167664
0.710000,41,0.03167590
0.720000,37,0.03167515
0.730000,42,0.03167441
0.740000,38,0.03167367
0.750000,38,0.03167292
0.760000,34,0.03167218
0.770000,34,0.03167143
0.780000,40,0.03167069
0.790000,37,0.03166995
0.800000,40,0.03166920
0.810000,39,0.03166846
0.820000,39,0.03166771
0.830000,41,0.03166697
0.840000,39,0.03166623
0.850000,32,0.03166548
0.860000,35,0.03166474
0.870000,41,0.03166399
0.880000,43,0.03166325
0.890000,39,0.03166251
0.900000,37,0.03166176
0.910000,36,0.03166102
0.920000,40,0.03166027
0.930000,35,0.03165953
0.940000,36,0.03165879
0.950000,39,0.03165804
0.960000,39,0.03165730
0.970000,38,0.03165655
0.980000,41,0.03165581
0.990000,36,0.03165507
1.000000,36,0.03165432
1.010000,38,0.03165358
1.020000,39,0.03165283
1.030000,38,0.03165209
1.040000,43,0.03165135
1.050000,38,0.03165060
1.060000,40,0.03164986
1.070000,38,0.03164911
1.080000,39,0.03164837
1.090000,38,0.03164763
1.100000,38,0.03164688
1.110000,42,0.03164614
1.120000,38,0.03164539
1.130000,42,0.03164465
1.140000,37,0.03164391
1.150000,38,0.03164316
1.160000,41,0.03164242
1.170000,34,0.03164168
1.180000,35,0.03164093
1.190000,39,0.03164019
1.200000,40,0.03163944
1.210000,40,0.03163870
1.220000,38,0.03163796
1.230000,36,0.03163721
1.240000,40,0.03163647
1.250000,40,0.03163572
1.260000,36,0.03163498
1.270000,39,0.03163424
1.280000,42,0.03163349
1.290000,39,0.03163275
1.300000,36,0.03163200
1.310000,38,0.03163126
1.320000,38,0.03163052
1.330000,39,0.03162977
1.340000,41,0.03162903
1.350000,37,0.03162828
1.360000,37,0.03162754
1.370000,41,0.03162680
1.380000,40,0.03162605
1.390000,41,0.03162531
1.400000,36,0.03162456
1.410000,37,0.03162382
1.420000,41,0.03162308
1.430000,37,0.03162233
1.440000,39,0.03162159
1.450000,39,0.03162084
1.460000,37,0.03162010
