time_s,adc_code,voltage_v
0.000000,36,0.03148410
0.010000,39,0.03148499
0.020000,40,0.03148588
0.030000,40,0.03148677
0.040000,37,0.03148766
0.050000,41,0.03148855
0.060000,40,0.03148944
0.070000,40,0.03149034
0.080000,40,0.03149123
0.090000,41,0.03149212
0.100000,43,0.03149301
0.110000,37,0.03149390
0.120000,39,0.03149479
0.130000,42,0.03149568
0.140000,36,0.03149658
0.150000,39,0.03149747
0.160000,37,0.03149836
0.170000,39,0.03149925
0.180000,40,0.03150014
0.190000,35,0.03150103
0.200000,37,0.03150192
0.210000,36,0.03150282
0.220000,38,0.03150371
0.230000,37,0.03150460
0.240000,42,0.03150549
0.250000,37,0.03150638
0.260000,42,0.03150727
0.270000,38,0.03150816
0.280000,39,0.03150906
0.290000,39,0.03150995
0.300000,39,0.03151084
0.310000,36,0.03151173
0.320000,39,0.03151262
0.330000,39,0.03151351
0.340000,39,0.03151440
0.350000,40,0.03151530
0.360000,37,0.03151619
0.370000,38,0.03151708
0.380000,37,0.03151797
0.390000,35,0.03151886
0.400000,39,0.03151975
0.410000,37,0.03152064
0.420000,38,0.03152154
0.430000,43,0.03152243
0.440000,39,0.03152332
0.450000,39,0.03152421
0.460000,41,0.03152510
0.470000,41,0.03152599
0.480000,42,0.03152688
0.490000,38,0.03152778
0.500000,42,0.03152867
0.510000,38,0.03152956
0.520000,36,0.03153045
0.530000,37,0.03153134
0.540000,41,0.03153223
0.550000,40,0.03153312
0.560000,41,0.03153402
0.570000,37,0.03153491
0.580000,38,0.03153580
0.590000,36,0.03153669
0.600000,35,0.03153758
0.610000,39,0.03153847
0.620000,42,0.03153936
0.630000,41,0.03154026
0.640000,37,0.03154115
0.650000,41,0.03154204
0.660000,37,0.03154293
0.670000,39,0.03154382
0.680000,40,0.03154471
0.690000,38,0.03154560
0.700000,37,0.03154650
0.710000,40,0.03154739
0.720000,38,0.03154828
0.730000,38,0.03154917
0.740000,40,0.03155006
0.750000,38,0.03155095
0.760000,39,0.03155184
0.770000,37,0.03155274
0.780000,40,0.03155363
0.790000,37,0.03155452
0.800000,38,0.03155541
0.810000,35,0.03155630
0.820000,41,0.03155719
0.830000,39,0.03155808
0.840000,40,0.03155898
0.850000,35,0.03155987
0.860000,39,0.03156076
0.870000,38,0.03156165
0.880000,41,0.03156254
0.890000,36,0.03156343
0.900000,39,0.03156432
0.910000,41,0.03156522
0.920000,36,0.03156611
0.930000,39,0.03156700
0.940000,37,0.03156789
0.950000,39,0.03156878
0.960000,39,0.03156967
0.970000,41,0.03157056
0.980000,39,0.03157146
0.990000,37,0.03157235
1.000000,40,0.03157324
1.010000,39,0.03157413
1.020000,41,0.03157502
1.030000,37,0.03157591
1.040000,41,0.03157680
1.050000,39,0.03157770
1.060000,39,0.03157859
1.070000,41,0.03157948
1.080000,38,0.03158037
1.090000,38,0.03158126
1.100000,40,0.03158215
1.110000,39,0.03158304
1.120000,39,0.03158394
1.130000,38,0.03158483
1.140000,38,0.03158572
1.150000,40,0.03158661
1.160000,43,0.03158750
1.170000,36,0.03158839
1.180000,42,0.03158928
1.190000,40,0.03159018
1.200000,41,0.03159107
1.210000,39,0.03159196
1.220000,37,0.03159285
1.230000,38,0.03159374
1.240000,37,0.03159463
1.250000,35,0.03159552
1.260000,39,0.03159642
1.270000,39,0.03159731
1.280000,38,0.03159820
1.290000,39,0.03159909
1.300000,36,0.03159998
1.310000,41,0.03160087
1.320000,38,0.03160177
1.330000,39,0.03160266
1.340000,40,0.03160355
1.350000,38,0.03160444
1.360000,44,0.03160533
1.370000,41,0.03160622
1.380000,41,0.03160711
1.390000,39,0.03160801
1.400000,37,0.03160890
1.410000,40,0.03160979
1.420000,37,0.03161068
1.430000,39,0.03161157
1.440000,39,0.03161246
1.450000,41,0.03161335
1.460000,40,0.03161425
1.470000,39,0.03161514
1.480000,42,0.03161603
1.490000,39,0.03161692
1.500000,38,0.03161781
1.510000,38,0.03161870
1.520000,42,0.03161959
1.530000,39,0.03162049
1.540000,38,0.03162138
1.550000,35,0.03162227
1.560000,37,0.03162316
1.570000,39,0.03162405
1.580000,40,0.03162494
1.590000,42,0.03162583
1.600000,37,0.03162673
1.610000,40,0.03162762
1.620000,41,0.03162851
1.630000,34,0.03162940
1.640000,43,0.03163029
1.650000,36,0.03163118
1.660000,36,0.03163207
1.670000,41,0.03163297
1.680000,40,0.03163386
1.690000,41,0.03163475
1.700000,40,0.03163564
1.710000,39,0.03163653
1.720000,39,0.03163742
1.730000,37,0.03163831
1.740000,40,0.03163921
1.750000,35,0.03164010
1.760000,38,0.03164099
1.770000,40,0.03164188
1.780000,36,0.03164277
1.790000,40,0.03164366
1.800000,41,0.03164455
1.810000,39,0.03164523
1.820000,38,0.03164578
1.830000,40,0.03164633
1.840000,40,0.03164688
1.850000,38,0.03164743
1.860000,43,0.03164798
1.870000,42,0.03164853
1.880000,41,0.03164908
1.890000,42,0.03164963
1.900000,41,0.03165018
1.910000,36,0.03165073
1.920000,44,0.03165129
1.930000,36,0.03165184
1.940000,39,0.03165239
1.950000,37,0.03165294
1.960000,40,0.03165349
1.970000,40,0.03165404
1.980000,39,0.03165459
1.990000,33,0.03165514
2.000000,40,0.03165569
2.010000,39,0.03165624
2.020000,35,0.03165679
2.030000,42,0.03165734
2.040000,38,0.03165789
2.050000,37,0.03165844
2.060000,40,0.03165899
2.070000,38,0.03165955
2.080000,40,0.03166010
2.090000,38,0.03166065
2.100000,37,0.03166120
2.110000,37,0.03166175
2.120000,40,0.03166230
2.130000,39,0.03166285
2.140000,37,0.03166340
2.150000,38,0.03166395
2.160000,37,0.03166450
2.170000,43,0.03166505
2.180000,40,0.03166560
2.190000,39,0.03166615
2.200000,42,0.03166670
2.210000,38,0.03166726
2.220000,37,0.03166781
2.230000,38,0.03166836
2.240000,39,0.03166891
2.250000,38,0.03166946
2.260000,38,0.03167001
2.270000,39,0.03167056
2.280000,38,0.03167111
2.290000,37,0.03167166
2.300000,40,0.03167221
2.310000,38,0.03167276
2.320000,38,0.03167331
2.330000,40,0.03167386
2.340000,40,0.03167441
2.350000,37,0.03167496
2.360000,37,0.03167552
2.370000,36,0.03167607
2.380000,36,0.03167662
2.390000,39,0.03167717
2.400000,38,0.03167772
2.410000,37,0.03167827
2.420000,36,0.03167882
2.430000,41,0.03167937
2.440000,38,0.03167992
2.450000,39,0.03168047
2.460000,39,0.03168102
2.470000,37,0.03168157
2.480000,40,0.03168212
2.490000,39,0.03168267
2.500000,41,0.03168323
2.510000,40,0.03168378
2.520000,36,0.03168433
2.530000,38,0.03168488
2.540000,39,0.03168543
2.550000,39,0.03168598
2.560000,36,0.03168653
2.570000,35,0.03168708
2.580000,38,0.03168763
2.590000,39,0.03168818
2.600000,36,0.03168873
2.610000,42,0.03168928
2.620000,40,0.03168983
2.630000,38,0.03169038
2.640000,43,0.03169093
2.650000,36,0.03169149
2.660000,37,0.03169204
2.670000,37,0.03169259
2.680000,41,0.03169314
2.690000,37,0.03169369
2.700000,40,0.03169424
2.710000,39,0.03169479
2.720000,38,0.03169534
2.730000,39,0.03169589
2.740000,36,0.03169644
2.750000,40,0.03169699
2.760000,37,0.03169754
2.770000,37,0.03169809
2.780000,40,0.03169864
2.790000,38,0.03169920
2.800000,43,0.03169975
2.810000,42,0.03170030
2.820000,35,0.03170085
2.830000,39,0.03170140
2.840000,38,0.03170195
2.850000,43,0.03170250
2.860000,38,0.03170305
2.870000,38,0.03170360
2.880000,38,0.03170415
2.890000,38,0.03170470
2.900000,37,0.03170525
2.910000,39,0.03170580
2.920000,38,0.03170635
2.930000,37,0.03170690
2.940000,42,0.03170746
2.950000,39,0.03170801
2.960000,37,0.03170856
2.970000,36,0.03170911
2.980000,38,0.03170966
2.990000,36,0.03171021
3.000000,36,0.03171076
3.010000,41,0.03171131
3.020000,39,0.03171186
3.030000,38,0.03171241
3.040000,39,0.03171296
3.050000,38,0.03171351
3.060000,39,0.03171406
3.070000,42,0.03171461
3.080000,39,0.03171517
3.090000,38,0.03171572
3.100000,37,0.03171627
3.110000,40,0.03171682
3.120000,38,0.03171737
3.130000,40,0.03171792
3.140000,36,0.03171847
3.150000,38,0.03171902
3.160000,39,0.03171957
3.170000,40,0.03172012
3.180000,39,0.03172067
3.190000,38,0.03172122
3.200000,41,0.03172177
3.210000,39,0.03172232
3.220000,35,0.03172287
3.230000,36,0.03172343
3.240000,39,0.03172398
3.250000,39,0.03172453
3.260000,36,0.03172508
3.270000,36,0.03172563
3.280000,40,0.03172618
3.290000,39,0.03172673
3.300000,40,0.03172728
3.310000,40,0.03172783
3.320000,39,0.03172838
3.330000,37,0.03172893
3.340000,41,0.03172948
3.350000,41,0.03173003
3.360000,42,0.03173058
3.370000,40,0.03173114
3.380000,39,0.03173169
3.390000,39,0.03173224
3.400000,40,0.03173279
3.410000,35,0.03173334
3.420000,39,0.03173389
3.430000,38,0.03173444
3.440000,40,0.03173499
3.450000,40,0.03173554
3.460000,38,0.03173609
3.470000,38,0.03173664
3.480000,36,0.03173719
3.490000,40,0.03173774
3.500000,38,0.03173829
3.510000,38,0.03173884
3.520000,41,0.03173940
3.530000,41,0.03173995
3.540000,38,0.03174050
3.550000,42,0.03174105
3.560000,40,0.03174160
3.570000,39,0.03174215
3.580000,37,0.03174270
3.590000,37,0.03174325
3.600000,41,0.03174380
3.610000,35,0.03174420
3.620000,42,0.03174421
3.630000,40,0.03174421
3.640000,38,0.03174422
3.650000,42,0.03174423
3.660000,39,0.03174423
3.670000,36,0.03174424
3.680000,38,0.03174425
3.690000,37,0.03174425
3.700000,36,0.03174426
3.710000,43,0.03174427
3.720000,39,0.03174427
3.730000,38,0.03174428
3.740000,40,0.03174429
3.750000,40,0.03174429
3.760000,37,0.03174430
3.770000,37,0.03174431
3.780000,35,0.03174431
3.790000,41,0.03174432
3.800000,38,0.03174433
3.810000,41,0.03174433
3.820000,39,0.03174434
3.830000,36,0.03174435
3.840000,38,0.03174435
3.850000,42,0.03174436
3.860000,38,0.03174437
3.870000,40,0.03174437
3.880000,34,0.03174438
3.890000,37,0.03174439
3.900000,41,0.03174439
3.910000,35,0.03174440
3.920000,41,0.03174441
3.930000,38,0.03174441
3.940000,38,0.03174442
3.950000,42,0.03174443
3.960000,38,0.03174443
3.970000,41,0.03174444
3.980000,38,0.03174444
3.990000,40,0.03174445
4.000000,41,0.03174446
4.010000,41,0.03174446
4.020000,38,0.03174447
4.030000,34,0.03174448
4.040000,42,0.03174448
4.050000,38,0.03174449
4.060000,42,0.03174450
4.070000,37,0.03174450
4.080000,38,0.03174451
4.090000,39,0.03174452
4.100000,39,0.03174452
4.110000,43,0.03174453
4.120000,36,0.03174454
4.130000,38,0.03174454
4.140000,40,0.03174455
4.150000,40,0.03174456
4.160000,39,0.03174456
4.170000,39,0.03174457
4.180000,41,0.03174458
4.190000,38,0.03174458
4.200000,38,0.03174459
4.210000,39,0.03174460
4.220000,40,0.03174460
4.230000,36,0.03174461
4.240000,43,0.03174462
4.250000,38,0.03174462
4.260000,38,0.03174463
4.270000,38,0.03174464
4.280000,37,0.03174464
4.290000,37,0.03174465
4.300000,38,0.03174466
4.310000,40,0.03174466
4.320000,40,0.03174467
4.330000,38,0.03174468
4.340000,38,0.03174468
4.350000,40,0.03174469
4.360000,35,0.03174470
4.370000,39,0.03174470
4.380000,41,0.03174471
4.390000,42,0.03174472
4.400000,39,0.03174472
4.410000,36,0.03174473
4.420000,38,0.03174474
4.430000,41,0.03174474
4.440000,43,0.03174475
4.450000,39,0.03174476
4.460000,36,0.03174476
4.470000,39,0.03174477
4.480000,41,0.03174478
4.490000,41,0.03174478
4.500000,40,0.03174479
4.510000,44,0.03174480
4.520000,39,0.03174480
4.530000,45,0.03174481
4.540000,37,0.03174482
4.550000,42,0.03174482
4.560000,41,0.03174483
4.570000,41,0.03174484
4.580000,37,0.03174484
4.590000,39,0.03174485
4.600000,37,0.03174485
4.610000,39,0.03174486
4.620000,40,0.03174487
4.630000,40,0.03174487
4.640000,37,0.03174488
4.650000,37,0.03174489
4.660000,35,0.03174489
4.670000,39,0.03174490
